Id,Id2,Geography,male_tot,female_tot,tsr,pop_1864,male_1864,female_1864,asr_1864,male_1824,female_1824,male_2544,female_2544
0500000US01001,1001,"Autauga County, Alabama",26569,28002,94.9,33412,16293,17119,95.2,2335,2282,7115,7615
0500000US01003,1003,"Baldwin County, Alabama",89196,93069,95.8,109799,53857,55942,96.3,7019,6815,22120,22389
0500000US01005,1005,"Barbour County, Alabama",14576,12881,113.2,17533,9830,7703,127.6,1408,1045,4489,2957
0500000US01007,1007,"Bibb County, Alabama",12301,10614,115.9,14808,8300,6508,127.5,1104,952,3895,2736
0500000US01009,1009,"Blount County, Alabama",28362,28960,97.9,34777,17441,17336,100.6,2376,2238,7487,7315
0500000US01011,1011,"Bullock County, Alabama",5912,5002,118.2,7015,4040,2975,135.8,545,449,1760,1157
0500000US01013,1013,"Butler County, Alabama",9838,11109,88.6,12402,5803,6599,87.9,817,876,2243,2661
0500000US01015,1015,"Calhoun County, Alabama",57176,61396,93.1,74456,36240,38216,94.8,6363,6584,14389,15025
0500000US01017,1017,"Chambers County, Alabama",16363,17852,91.7,20806,10118,10688,94.7,1433,1322,4013,4220
0500000US01019,1019,"Cherokee County, Alabama",12888,13101,98.4,15772,7955,7817,101.8,979,927,2997,2926
0500000US01021,1021,"Chilton County, Alabama",21608,22035,98.1,26762,13430,13332,100.7,1900,1765,5821,5785
0500000US01023,1023,"Choctaw County, Alabama",6688,7171,93.3,8199,3950,4249,93,513,487,1488,1619
0500000US01025,1025,"Clarke County, Alabama",12214,13619,89.7,15270,7248,8022,90.4,1018,968,2825,3349
0500000US01027,1027,"Clay County, Alabama",6833,7099,96.3,8339,4094,4245,96.4,547,542,1612,1698
0500000US01029,1029,"Cleburne County, Alabama",7453,7519,99.1,9060,4550,4510,100.9,602,573,1825,1860
0500000US01031,1031,"Coffee County, Alabama",24684,25264,97.7,30654,15425,15229,101.3,2281,2025,6881,6630
0500000US01033,1033,"Colbert County, Alabama",26159,28269,92.5,32931,16001,16930,94.5,2200,2227,6352,6663
0500000US01035,1035,"Conecuh County, Alabama",6412,6816,94.1,7824,3815,4009,95.2,543,476,1324,1506
0500000US01037,1037,"Coosa County, Alabama",5727,5812,98.5,7199,3576,3623,98.7,431,421,1307,1375
0500000US01039,1039,"Covington County, Alabama",18288,19477,93.9,22303,10947,11356,96.4,1471,1469,4211,4417
0500000US01041,1041,"Crenshaw County, Alabama",6714,7192,93.4,8388,4094,4294,95.3,591,520,1558,1724
0500000US01043,1043,"Cullman County, Alabama",39719,40687,97.6,48955,24586,24369,100.9,3525,3395,10153,9775
0500000US01045,1045,"Dale County, Alabama",24825,25426,97.6,31015,15586,15429,101,2528,2198,6731,6663
0500000US01047,1047,"Dallas County, Alabama",20244,23576,85.9,26060,11882,14178,83.8,1866,2152,4458,5552
0500000US01049,1049,"DeKalb County, Alabama",35113,35996,97.5,42868,21443,21425,100.1,2983,2843,9443,9258
0500000US01051,1051,"Elmore County, Alabama",38689,40614,95.3,51160,24888,26272,94.7,3801,3536,10595,11517
0500000US01053,1053,"Escambia County, Alabama",19766,18553,106.5,23828,12989,10839,119.8,1790,1466,5845,4413
0500000US01055,1055,"Etowah County, Alabama",50626,53804,94.1,63936,31402,32534,96.5,4558,4335,12789,13213
0500000US01057,1057,"Fayette County, Alabama",8507,8734,97.4,10320,5118,5202,98.4,751,689,1933,1965
0500000US01059,1059,"Franklin County, Alabama",15828,15876,99.7,19012,9704,9308,104.3,1542,1280,4218,3962
0500000US01061,1061,"Geneva County, Alabama",13105,13685,95.8,16125,8007,8118,98.6,1088,1103,3109,3164
0500000US01063,1063,"Greene County, Alabama",4271,4774,89.5,5397,2525,2872,87.9,434,387,845,984
0500000US01065,1065,"Hale County, Alabama",7466,8294,90,9475,4525,4950,91.4,692,669,1611,1892
0500000US01067,1067,"Henry County, Alabama",8302,9000,92.2,10340,4986,5354,93.1,583,616,1943,2054
0500000US01069,1069,"Houston County, Alabama",48740,52807,92.3,61946,29762,32184,92.5,4152,4316,12521,13565
0500000US01071,1071,"Jackson County, Alabama",26139,27088,96.5,32469,16113,16356,98.5,2135,2000,6481,6501
0500000US01073,1073,"Jefferson County, Alabama",311813,346653,89.9,417495,198939,218556,91,31462,33249,84966,91924
0500000US01075,1075,"Lamar County, Alabama",7097,7467,95,8605,4290,4315,99.4,555,500,1591,1689
0500000US01077,1077,"Lauderdale County, Alabama",44379,48330,91.8,57174,27740,29434,94.2,5011,5136,10632,11004
0500000US01079,1079,"Lawrence County, Alabama",16791,17548,95.7,21376,10548,10828,97.4,1446,1426,4236,4289
0500000US01081,1081,"Lee County, Alabama",69126,71121,97.2,95940,47477,48463,98,14694,14125,18031,18577
0500000US01083,1083,"Limestone County, Alabama",41910,40872,102.5,52736,27254,25482,107,3475,3142,12171,11095
0500000US01085,1085,"Lowndes County, Alabama",5289,6010,88,6912,3203,3709,86.4,493,556,1136,1355
0500000US01087,1087,"Macon County, Alabama",9826,11626,84.5,14001,6381,7620,83.7,1628,2177,2067,2415
0500000US01089,1089,"Madison County, Alabama",164320,170491,96.4,214448,106006,108442,97.8,17714,16882,43512,44803
0500000US01091,1091,"Marengo County, Alabama",9913,11114,89.2,12412,5832,6580,88.6,910,864,2132,2660
0500000US01093,1093,"Marion County, Alabama",15293,15483,98.8,18466,9301,9165,101.5,1150,1205,3738,3641
0500000US01095,1095,"Marshall County, Alabama",45843,47176,97.2,55898,27968,27930,100.1,4293,3849,11874,11669
0500000US01097,1097,"Mobile County, Alabama",198374,214618,92.4,256090,123395,132695,93,20093,21184,50609,54439
0500000US01099,1099,"Monroe County, Alabama",11109,11959,92.9,13609,6582,7027,93.7,981,867,2446,2845
0500000US01101,1101,"Montgomery County, Alabama",109167,120196,90.8,145775,69554,76221,91.3,12939,13190,30055,32232
0500000US01103,1103,"Morgan County, Alabama",58886,60604,97.2,73995,37072,36923,100.4,5209,4794,15786,15350
0500000US01105,1105,"Perry County, Alabama",4980,5611,88.8,6269,2952,3317,89,697,698,1012,1200
0500000US01107,1107,"Pickens County, Alabama",9428,10318,91.4,11809,5689,6120,93,857,836,2053,2350
0500000US01109,1109,"Pike County, Alabama",15700,17199,91.3,22006,10568,11438,92.4,3357,3630,3611,3863
0500000US01111,1111,"Randolph County, Alabama",11104,11809,94,13552,6629,6923,95.8,913,966,2553,2693
0500000US01113,1113,"Russell County, Alabama",25287,27660,91.4,32728,15592,17136,91,2414,2742,6678,7227
0500000US01115,1115,"St. Clair County, Alabama",41904,41689,100.5,52858,26730,26128,102.3,3441,3095,11836,11398
0500000US01117,1117,"Shelby County, Alabama",95557,99528,96,124496,60638,63858,95,7531,7599,27920,28977
0500000US01119,1119,"Sumter County, Alabama",6261,7502,83.5,8632,3955,4677,84.6,969,1096,1265,1579
0500000US01121,1121,"Talladega County, Alabama",40077,42214,94.9,51415,25465,25950,98.1,3437,3667,10660,10556
0500000US01123,1123,"Tallapoosa County, Alabama",20190,21426,94.2,25204,12331,12873,95.8,1693,1646,4679,5015
0500000US01125,1125,"Tuscaloosa County, Alabama",94400,100256,94.2,131820,64318,67502,95.3,18879,19377,23994,24983
0500000US01127,1127,"Walker County, Alabama",32668,34355,95.1,41022,20278,20744,97.8,2726,2676,8200,8155
0500000US01129,1129,"Washington County, Alabama",8656,8925,97,10507,5168,5339,96.8,758,658,1997,2147
0500000US01131,1131,"Wilcox County, Alabama",5518,6152,89.7,6768,3198,3570,89.6,486,459,1189,1400
0500000US01133,1133,"Winston County, Alabama",12021,12463,96.5,14852,7457,7395,100.8,929,892,2909,2863
0500000US02013,2013,"Aleutians East Borough, Alaska",2093,1048,199.7,2615,1803,812,222,218,80,785,326
0500000US02016,2016,"Aleutians West Census Area, Alaska",3723,1838,202.6,4553,3176,1377,230.6,301,125,1502,607
0500000US02020,2020,"Anchorage Municipality, Alaska",148209,143617,103.2,194901,99667,95234,104.7,17472,15330,43013,41489
0500000US02050,2050,"Bethel Census Area, Alaska",8898,8115,109.6,9754,5170,4584,112.8,1007,969,2148,1967
0500000US02060,2060,"Bristol Bay Borough, Alaska",540,457,118.2,689,387,302,128.1,43,25,131,106
0500000US02068,2068,"Denali Borough, Alaska",1002,824,121.6,1278,707,571,123.8,47,34,249,252
0500000US02070,2070,"Dillingham Census Area, Alaska",2541,2306,110.2,2885,1511,1374,110,297,278,549,508
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",51531,46050,111.9,66205,35435,30770,115.2,7365,5712,15348,13359
0500000US02100,2100,"Haines Borough, Alaska",1274,1234,103.2,1664,861,803,107.2,64,55,275,276
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",1165,985,118.3,1438,788,650,121.2,83,68,251,215
0500000US02110,2110,"Juneau City and Borough, Alaska",15950,15325,104.1,21304,10944,10360,105.6,1416,1359,4446,4207
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",29038,26362,110.2,36013,19121,16892,113.2,2578,1996,6960,6185
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",6911,6566,105.3,8883,4592,4291,107,623,547,1795,1721
0500000US02150,2150,"Kodiak Island Borough, Alaska",7197,6395,112.5,8783,4719,4064,116.1,766,559,1985,1828
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",859,772,111.3,1012,546,466,117.2,88,96,212,176
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",46040,42955,107.2,56207,29171,27036,107.9,3935,3511,12197,11570
0500000US02180,2180,"Nome Census Area, Alaska",5058,4434,114.1,5630,3050,2580,118.2,577,528,1282,1115
0500000US02185,2185,"North Slope Borough, Alaska",5904,3526,167.4,6777,4524,2253,200.8,603,447,1718,905
0500000US02188,2188,"Northwest Arctic Borough, Alaska",4029,3494,115.3,4413,2479,1934,128.2,577,455,1001,820
0500000US02195,2195,"Petersburg Census Area, Alaska",1982,1833,108.1,2486,1283,1203,106.7,147,142,460,448
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",3070,2489,123.3,3576,1974,1602,123.2,232,189,697,614
0500000US02220,2220,"Sitka City and Borough, Alaska",4481,4400,101.8,5783,2935,2848,103.1,343,377,1237,1182
0500000US02230,2230,"Skagway Municipality, Alaska",500,468,106.8,728,386,342,112.9,25,25,175,173
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",3917,3112,125.9,4516,2580,1936,133.3,301,261,1032,773
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",5143,4493,114.5,6490,3543,2947,120.2,446,355,1261,1094
0500000US02270,2270,"Wade Hampton Census Area, Alaska",3944,3515,112.2,3954,2125,1829,116.2,569,468,851,775
0500000US02275,2275,"Wrangell City and Borough, Alaska",1242,1127,110.2,1475,782,693,112.8,99,69,218,226
0500000US02282,2282,"Yakutat City and Borough, Alaska",360,302,119.2,436,254,182,139.6,24,24,100,72
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",3027,2561,118.2,3467,1903,1564,121.7,314,237,667,565
0500000US04001,4001,"Apache County, Arizona",35678,35840,99.5,40590,20397,20193,101,3736,3479,8205,7726
0500000US04003,4003,"Cochise County, Arizona",66977,64369,104.1,78408,40551,37857,107.1,6795,5318,16595,14572
0500000US04005,4005,"Coconino County, Arizona",66666,67755,98.4,90709,44902,45807,98,11307,12461,17291,16337
0500000US04007,4007,"Gila County, Arizona",26633,26964,98.8,29676,14788,14888,99.3,1944,1825,4891,4766
0500000US04009,4009,"Graham County, Arizona",19977,17243,115.9,22384,12641,9743,129.7,2384,2063,5939,3858
0500000US04011,4011,"Greenlee County, Arizona",4398,4039,108.9,4958,2620,2338,112.1,350,351,1083,1014
0500000US04012,4012,"La Paz County, Arizona",10550,9939,106.1,10128,5084,5044,100.8,632,524,1690,1576
0500000US04013,4013,"Maricopa County, Arizona",1888465,1928652,97.9,2346615,1168509,1178106,99.2,195125,183492,536640,529084
0500000US04015,4015,"Mohave County, Arizona",100078,100108,100,112263,56044,56219,99.7,6918,6725,19588,18799
0500000US04017,4017,"Navajo County, Arizona",53777,53672,100.2,61235,30850,30385,101.5,5330,4856,12336,11414
0500000US04019,4019,"Pima County, Arizona",481437,498826,96.5,603654,298668,304986,97.9,54859,52932,121664,120304
0500000US04021,4021,"Pinal County, Arizona",197165,178605,110.4,223999,120818,103181,117.1,16791,12907,60094,47011
0500000US04023,4023,"Santa Cruz County, Arizona",22559,24861,90.7,26636,12315,14321,86,2011,2001,4716,5845
0500000US04025,4025,"Yavapai County, Arizona",103458,107575,96.2,119997,58797,61200,96.1,8047,6893,19458,19552
0500000US04027,4027,"Yuma County, Arizona",98005,97746,100.3,109920,55240,54680,101,11512,9643,23764,23375
0500000US05001,5001,"Arkansas County, Arkansas",9220,9799,94.1,11479,5632,5847,96.3,729,719,2238,2360
0500000US05003,5003,"Ashley County, Arkansas",10598,11255,94.2,12979,6267,6712,93.4,840,910,2469,2712
0500000US05005,5005,"Baxter County, Arkansas",20023,21490,93.2,22348,10647,11701,91,1202,1252,3802,3903
0500000US05007,5007,"Benton County, Arkansas",109124,112215,97.2,132505,65445,67060,97.6,9147,9302,31779,31812
0500000US05009,5009,"Boone County, Arkansas",18066,18837,95.9,21645,10639,11006,96.7,1464,1409,4325,4321
0500000US05011,5011,"Bradley County, Arkansas",5587,5921,94.4,6786,3377,3409,99.1,527,500,1378,1336
0500000US05013,5013,"Calhoun County, Arkansas",2719,2649,102.6,3343,1765,1578,111.9,286,192,632,600
0500000US05015,5015,"Carroll County, Arkansas",13531,13915,97.2,16132,8019,8113,98.8,1056,902,3001,2948
0500000US05017,5017,"Chicot County, Arkansas",5793,6007,96.4,6927,3539,3388,104.5,552,420,1365,1257
0500000US05019,5019,"Clark County, Arkansas",10972,12023,91.3,15105,7333,7772,94.4,2395,2551,2331,2399
0500000US05021,5021,"Clay County, Arkansas",7871,8212,95.8,9273,4644,4629,100.3,623,578,1842,1809
0500000US05023,5023,"Cleburne County, Arkansas",12777,13193,96.8,14690,7359,7331,100.4,947,830,2722,2632
0500000US05025,5025,"Cleveland County, Arkansas",4287,4402,97.4,5122,2537,2585,98.1,340,303,1005,1064
0500000US05027,5027,"Columbia County, Arkansas",11715,12837,91.3,15030,7288,7742,94.1,1723,1772,2569,2891
0500000US05029,5029,"Conway County, Arkansas",10533,10740,98.1,12536,6237,6299,99,828,847,2483,2501
0500000US05031,5031,"Craighead County, Arkansas",47077,49366,95.4,60562,29671,30891,96.1,6253,6268,12778,13067
0500000US05033,5033,"Crawford County, Arkansas",30571,31377,97.4,37365,18582,18783,98.9,2673,2519,7690,7895
0500000US05035,5035,"Crittenden County, Arkansas",24166,26736,90.4,30616,14403,16213,88.8,2167,2385,6016,7097
0500000US05037,5037,"Cross County, Arkansas",8621,9249,93.2,10617,5151,5466,94.2,665,678,2073,2231
0500000US05039,5039,"Dallas County, Arkansas",3974,4142,95.9,4729,2358,2371,99.5,339,289,861,872
0500000US05041,5041,"Desha County, Arkansas",6103,6905,88.4,7661,3608,4053,89,545,549,1351,1574
0500000US05043,5043,"Drew County, Arkansas",8985,9524,94.3,11413,5549,5864,94.6,1204,1159,2021,2240
0500000US05045,5045,"Faulkner County, Arkansas",55623,57614,96.5,74177,36531,37646,97,8495,9274,15435,15138
0500000US05047,5047,"Franklin County, Arkansas",8977,9148,98.1,10687,5394,5293,101.9,833,677,2131,2159
0500000US05049,5049,"Fulton County, Arkansas",5999,6246,96,6905,3359,3546,94.7,381,381,1201,1239
0500000US05051,5051,"Garland County, Arkansas",46614,49410,94.3,55833,27264,28569,95.4,3743,3601,10542,10757
0500000US05053,5053,"Grant County, Arkansas",8869,8984,98.7,10947,5477,5470,100.1,743,702,2263,2245
0500000US05055,5055,"Greene County, Arkansas",20642,21448,96.2,25466,12629,12837,98.4,1873,1789,5392,5495
0500000US05057,5057,"Hempstead County, Arkansas",10905,11704,93.2,13335,6454,6881,93.8,934,980,2580,2830
