STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	AG_ARRST	JURFLAG	COVIND	GRNDTOT	P1TOT	P1VLNT	P1PRPTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON	OTHASLT	FRGYCNT	FRAUD	EMBEZL	STLNPRP	VANDLSM	WEAPONS	COMVICE	SEXOFF	DRUGTOT	DRGSALE	COCSALE	MJSALE	SYNSALE	OTHSALE	DRGPOSS	COCPOSS	MJPOSS	SYNPOSS	OTHPOSS	GAMBLE	BOOKMKG	NUMBERS	OTGAMBL	OFAGFAM	DUI	LIQUOR	DRUNK	DISORDR	VAGRANT	ALLOTHR	SUSPICN	CURFEW	RUNAWAY
9999	2	2	1	1	1	56219	3	1	98.4525	2492	350	51	299	5	1	14	31	32	253	10	4	290	18	114	2	33	31	11	0	14	126	42	17	4	10	11	83	8	55	5	14	0	0	0	0	26	180	61	69	13	2	1152	0	0	0
9999	2	2	2	1	3	182265	13	0	100	7912	660	74	586	1	4	12	57	56	497	29	4	827	20	83	1	50	58	49	1	14	288	41	12	10	5	14	247	62	161	12	12	2	0	0	2	21	1275	373	851	107	22	3210	0	0	0
9999	2	2	3	1	5	27457	6	0	98.9839	684	85	17	68	0	0	8	9	2	65	0	0	95	12	2	1	14	16	5	0	2	58	14	0	14	0	0	44	7	34	0	2	0	0	0	0	0	43	26	26	16	0	282	0	0	0
9999	2	2	4	1	7	22866	5	1	100	770	115	38	77	0	2	4	32	7	60	8	2	75	11	57	1	12	17	2	0	9	17	6	0	1	0	5	11	0	6	0	5	0	0	0	0	19	58	16	6	21	0	334	0	0	0
9999	2	2	5	1	9	57322	6	0	99.2813	1948	120	18	101	2	2	1	13	13	80	8	0	181	5	172	0	11	18	7	0	4	100	43	1	4	1	37	57	2	20	6	29	0	0	0	0	9	178	44	42	17	0	1039	0	0	0
9999	2	2	6	1	11	10914	2	0	100	112	14	8	6	0	0	0	8	1	4	1	0	30	1	4	0	1	6	1	0	0	5	2	0	2	0	0	3	0	2	0	1	0	0	0	0	0	12	0	0	0	0	38	0	0	0
9999	2	2	7	1	13	20955	4	1	100	1146	122	38	84	1	1	2	34	11	66	7	0	174	11	52	3	11	24	12	0	2	54	31	8	16	3	4	23	4	9	6	4	0	0	0	0	16	71	7	6	32	0	549	0	0	0
9999	2	2	8	1	15	122530	8	1	100	7497	995	167	828	3	4	42	118	157	630	35	6	927	97	529	22	123	67	74	0	13	492	69	6	5	3	55	423	28	140	199	56	0	0	0	0	5	632	224	125	143	0	3029	0	0	0
9999	2	2	9	1	17	34215	4	0	55.5166	1618	215	50	165	1	4	4	42	18	137	10	0	198	15	54	2	29	40	12	0	5	73	20	2	5	1	12	54	8	14	5	26	0	0	0	0	13	153	12	12	23	0	761	0	0	0
9999	2	2	10	1	19	25968	4	1	100	1150	118	38	80	1	0	1	36	14	57	9	0	91	14	37	2	19	13	8	0	0	100	37	5	3	0	29	63	2	13	0	48	0	0	0	0	18	43	43	0	11	0	633	0	0	0
9999	2	2	11	1	21	43547	5	1	100	1919	251	70	181	3	1	5	61	21	149	10	1	265	23	85	2	16	50	10	0	6	99	39	34	1	0	4	60	7	40	3	10	0	0	0	0	14	201	67	127	44	1	658	0	0	0
